cust_id,Fn,Ln,EmailAddress,Ph,Ct,St,ZipCd,CreateDate,S,MktOptIn,FavTeam
100030, sEAN,WoODS,scott67@carson.com,+1-053-648-5465x04138,Fort Worth,TX,92086,7/6/2023,box_office,,
100031,Dawn, Nash,doyleeric@gmail.com,001-863-309-2582x53685,El Paso,TX,65613,11/3/2020,partner_referral,,GamePulse Texas
100032,MariA, sANTOS,RHONDA73@YOUNG-FREY.COM,001-447-836-6019x332,Austin,TX,94588,2/4/2024,partner_referral,0,
100033,KennETH, cRuz,dustinherrera@jackson-carter.com,056-263-2892x16688,Dallas,TX,97826,4/1/2025,social,,
100034,ruTh , BrOWNInG,LISA08@YAHOO.COM,4863312487,Arlington,TX,31682,12/15/2020,box_office,,GamePulse Texas
100035,DAwn,SpArkS,MCLAUGHLINPATRICK@GMAIL.COM,001-204-628-1301x890,Austin,TX,60524,6/17/2021,box_office,1,GamePulse Texas
100036, JuLie,NEAL ,jeffreylambert@gmail.com,002-354-7038x43307,Dallas,Tx,14521,1/26/2023,partner_referral,1,GamePulse Texas
100037,DUStIN,decKer,dennisharrison@hotmail.com,+1-008-093-4626x6522,Austin,TX,55645,8/3/2022,box_office,1,GamePulse Texas
100038,Jessica,PArsoNS ,josephbrown@yahoo.com,2465522197,Houston,Tx,73324,7/22/2021,box_office,,
100039,Samantha,Knapp,SHEPHERDCATHY@GMAIL.COM,(593)383-5934,Houston,TX,91711,8/31/2021,partner_referral,,
100040,DAMon,David,russellmichael@lee.biz,(841)044-1148,Houston,TX,698-54,11/3/2022,social,1,GamePulse Texas
100041, Theresa,cunniNgHaM ,sgraham@yahoo.com,231.130.7293,El Paso,TX,87901,10/28/2021,social,,
100042, keVIn, CHAPMan,bbaker@martin-thomas.com,-3103,Arlington,TX,98769,6/11/2023,partner_referral,,
100043,SHaRON ,KRaMEr ,ashley86@yahoo.com,(183)526-6427x606,San Antonio,TX,3327,7/10/2022,partner_referral,,
100044,JOseph,pETErsoN,hbaxter@collins-jones.biz,001-512-834-0686x594,Houston,Tx,50372,3/11/2021,web,1,GamePulse Texas
100045,Jason , Contreras,cynthiawebb@whitaker.com,001-619-202-5684x701,Austin,TX,98990,5/12/2021,social,0,
100046,Frank,BRADY , angelamartinez@brown.com,001-145-871-1616x754,Miami,FL,680-20,10/18/2024,social,,
100047,Benjamin,PHILliPS,alisonerickson@nicholson-ochoa.com,(191)518-0801,Dallas,Tx,79583,10/18/2021,partner_referral,,GamePulse Texas
100048, Albert,bOyd,imorrow@forbes-smith.com,699038205,El Paso,tx,62469,5/22/2021,web,0,
100049,Amy,PerRY,KROSALES@GMAIL.COM,(498)466-2618,Austin,Tx,89556,1/11/2025,partner_referral,1,
100050,jenNiFeR , rUSSo,sking@phillips.com,-8361,San Antonio,TX,300-33,9/25/2024,social,,
100051,KaITlIN,Cook,kimberly39@hotmail.com,(236)919-7678x462,Corpus Christi,tx,2948,2/22/2022,web,,GamePulse Texas
100052, vERONIcA, SaWYeR,westjulia@dixon-hernandez.com,870.646.6688x12527,San Antonio,TX,22189,4/1/2022,box_office,0,
100053,hEIDi,Ramos,morrisana@malone.org,-5877,Austin,TX,27301,5/10/2021,web,0,
100054,Billy, BlaNCharD,vanessa90@beck.biz,-3115,Austin,Tx,45422,11/15/2022,social,,GamePulse Texas
100055, MICHele, aNdErSOn,andrewfry@nelson.net,+1-917-819-0306x2565,Chicago,il,70253,3/6/2022,partner_referral,1,
100056,stEphAnie ,Johnson ,wwilson@hotmail.com,XXX-XXX-XXXX,Austin,TX,83557,7/21/2022,web,,
100057,chaRles,beLL,alison81@wells.biz,988-321-4564,Dallas,TX,740-27,2/8/2023,partner_referral,0,
100058,Cody , sIMpSOn,TINACASEY@LUCAS.COM,(769)095-3162,San Antonio,TX,87250,4/16/2024,social,,
100059,Nathaniel ,miLLer,garrettmatthew@lam-rogers.net,033-729-0812,Oklahoma City,OK,48383,2/24/2025,box_office,,GamePulse Texas
100060, Carl,SMITH,fgarcia@durham-barber.com,(068)053-5224,San Antonio,TX,904,7/18/2021,partner_referral,1,
100061,MICHELe, Huffman,danielgreen@gmail.com,001-912-693-2091,Arlington,TX,59018,12/14/2021,web,1,
100062,ANDreW ,Morgan, christopher23@johnson.org,(933)631-9558x3308,San Antonio,Tx,55971,3/12/2024,box_office,,
100063,Walter,SMItH,caleb14@bauer.net,(389)766-5153x3739,Fort Worth,TX,3390,6/2/2023,social,,GamePulse Texas
100064,Kathy,Montgomery ,wmorris@gmail.com,001-501-332-3325,Dallas,TX,16927,4/20/2024,box_office,,GamePulse Texas
100065,rANDy,gREEne,RODNEY73@SANCHEZ-LAWSON.COM,8975522289,Lubbock,Tx,68074,5/27/2025,web,1,
100066,SAndRA,Davis ,ronald05@proctor.biz,001-774-323-0017x99977,Dallas,TX,17050,4/25/2024,partner_referral,,
100067,shELia, SMiTh,austinalvarado@oconnor-richardson.com,873-197-7593x521,Dallas,TX,72018,8/5/2022,partner_referral,0,GamePulse Texas
100068, CHrisTIAn,EDWARds,PATTERSONMIA@HARRIS.ORG,(156)219-0016x4687,Dallas,TX,38321,12/29/2023,box_office,,GamePulse Texas
100069,AmAnDa, jOHnson,dday@smith-nguyen.com,(301)052-1595,Arlington,Tx,61164,12/20/2021,web,,
100070,KEiTh, davILa,sarah31@hotmail.com,1122547749,Houston,TX,64685,2/17/2025,web,,GamePulse Texas
100071,JuAN ,PHilLIps ,tiffanyfarrell@gmail.com,627-824-8211x8149,Dallas,TX,3214,6/12/2023,box_office,,
100072,KEvin, padILLA,joan02@flores-lewis.com,939.863.3138x3075,Houston,Tx,859-03,7/14/2023,partner_referral,,
100073, kenNetH,JohNsON,lori79@yahoo.com,-1984,Dallas,TX,66382,3/5/2023,web,,GamePulse Texas
100074,DEAnna,mCcoY,kramirez@gmail.com,5476852628,San Antonio,TX,45659,10/20/2021,social,,GamePulse Texas
100075, mICHael,COleMAn,john89@holt.net,001-180-093-0957x188,El Paso,TX,79286,1/22/2021,box_office,,GamePulse Texas
100076,liSA ,joSEpH,ashley20@yahoo.com,3724132026,Dallas,TX,73119,8/14/2025,partner_referral,,
100077, STEveN,HuYNh,jonathanwilliams@carson.com ,644.987.0453,El Paso,TX,31181,11/3/2023,box_office,,GamePulse Texas
100078,eLIZabeTH, sTEIn,andrew26@navarro.com,+1-653-841-9858x92573,Phoenix,AZ,8501,12/7/2022,box_office,0,
100079,JosEph,Miller,bhouse@mcknight.com,-11114,El Paso,Tx,174-39,9/16/2021,web,,
100080,Jennifer, YouNg,brookebaker@bishop.biz,(271)076-8271x209,Houston,TX,72481,6/28/2025,box_office,,
100081,Jamie ,AlLeN,william94@campos-palmer.biz ,963-408-1081x5623,Dallas,TX,28029,7/25/2025,social,,
100082,Richard,Montoya ,BJENKINS@DAVIS-EVERETT.COM,6695087410,Dallas,TX,65212,9/13/2023,social,,
100083,alexandRA, Morgan,skennedy@allen.com,2031437514,Houston,TX,74396,2/1/2022,partner_referral,1,
100084,Donna,Cabrera,ihobbs@yahoo.com ,9034996643,Houston,TX,37656,12/2/2024,social,,
100085,Melissa ,boYeR ,alexis47hotmail.com,974-629-0993x508,Austin,TX,11479,11/11/2024,social,1,GamePulse Texas
100086, dAvID,bisHOp,jeremy84@gmail.com,849-065-4814x90205,El Paso,TX,17675,3/7/2023,box_office,,
100087, Joanna,Evans,MARGARETANDREWS@HOTMAIL.COM,(586)232-9658x2176,Fort Worth,TX,11168,2/21/2024,box_office,1,
100088,Brian ,bRyanT,cjohnson@romero.org,829.974.9250x45441,San Antonio,tx,49553,5/11/2022,partner_referral,,
100089, WAyne, fOx,sgardner@hotmail.com,+1-969-338-1893x463,Dallas,Tx,31165,1/15/2021,box_office,,GamePulse Texas
100090, CryStAL,wILLiamSoN,GLORIA85@YAHOO.COM,016.335.8242,San Antonio,tx,67219,9/2/2021,web,1,
100091,braNdon,grEeN,estesadam@williams.com,001-278-668-8295x54709,Houston,TX,407-44,4/30/2022,social,0,
100092, virgINIa,gIbson,heidi17@gmail.com ,(840)269-5674,San Antonio,TX,46357,8/25/2023,partner_referral,,
100093, Alexandra,hawkINS,glendasmith@sandoval-cook.com,915-790-8724,Baton Rouge,LA,95602,11/3/2021,web,0,GamePulse Texas
100094,MeLISSa,Hudson,madison90@moore.com,+1-399-414-4554x13614,Austin,TX,58575,7/11/2025,box_office,,
100095, Wyatt,Arnold,richardsingh@jacobs.com,(739)477-8114x221,Plano,TX,20939,6/24/2021,web,,GamePulse Texas
100096,roDNEy ,StaFFOrd,krice@hotmail.com,609.937.2800x9422,Fort Worth,TX,60674,1/16/2025,box_office,1,
100097,rIcHarD ,Jackson,tflores@gmail.com,+1-467-364-5837x707,Phoenix,AZ,55399,10/29/2021,box_office,1,
100098, RoBYn,JaCkSOn,lisayateshotmail.com,331.062.1417x09708,Austin,TX,9364,9/30/2021,web,0,GamePulse Texas
100099, Gerald,lewiS, claytonalyssa@cook.biz,815.843.2372x99279,Plano,TX,723-20,11/12/2021,partner_referral,,GamePulse Texas
100100,riChArd,wILson,christopherobrien@brown.com,(094)050-1066x0279,Arlington,TX,64759,12/28/2020,social,,GamePulse Texas
100101,MArY, roaCH,erica95@hotmail.com,+1-738-929-6511x431,Houston,Tx,77602,3/15/2023,web,0,GamePulse Texas
100102,thEresa,LeWIS, crystalrobertson@long.com,473-487-6541,Lubbock,TX,91396,6/27/2025,social,,GamePulse Texas
100103,DANIeL,eVANs ,josephgrant@yahoo.com,774.880.8229x780,Fort Worth,TX,37903,2/27/2025,partner_referral,,
100104,viNceNt,lOPez,SABRINA92@WALTON-CAMACHO.COM,XXX-XXX-XXXX,Houston,TX,58280,4/29/2023,partner_referral,0,GamePulse Texas
100105, Dana,Griffin,bvasquez@green.com,095.091.2977,Houston,TX,35823,5/29/2022,partner_referral,,
100106,GiLBeRT , ShePPaRd,patricialewis@hotmail.com,(346)862-9364,Houston,TX,94564,1/22/2023,social,1,
100107,keLLY,gOlDen,david23@gmail.com,+1-268-924-0921x110,San Antonio,TX,29454,4/22/2022,partner_referral,0,
100108,MAriA , HugHES,farroyo@fischer-williams.com,XXX-XXX-XXXX,Dallas,TX,67637,3/27/2024,box_office,,GamePulse Texas
100109,Cynthia,BAker,qchen@hotmail.com,200-202-7624,Austin,TX,35730,1/2/2025,social,0,
100110,Cathy ,Colon ,bmiddleton@gmail.com,118.406.0617x9605,Arlington,TX,77183,11/19/2020,social,1,
100111,John ,Hendricks ,anthonyryan@espinoza-mcclure.com,9357614273,Houston,TX,71193,2/10/2022,social,,
100112,CinDY ,Rodriguez ,ssanchez@gmail.com,001-786-453-0856,El Paso,TX,050-11,3/8/2024,social,,
100113,ryan,Blake,zhicks@wolfe-ball.com,(299)132-3056,Fort Worth,TX,97246,8/17/2024,web,0,
100114,KenNeTH,Mcknight ,LAURAWILLIAMS@HOTMAIL.COM,001-670-328-6122x120,Albuquerque,NM,97732,2/14/2021,web,,GamePulse Texas
100115,Rachel ,hAWkins,david53@keller.info,XXX-XXX-XXXX,Austin,TX,8481,5/18/2024,web,1,
100116,Jennifer ,Kerr,jackierodriguez@gmail.com,672-562-0111x47061,Little Rock,Ar,9255,1/3/2025,web,,
100117,Tina,MYers,riosjoanna@yahoo.com,431-495-3740x16442,Albuquerque,NM,91263,1/25/2022,social,1,
100118,Briana,Crawford ,patrickwallace@baker-daniel.com,(972)656-5161,Houston,Tx,1724,2/18/2021,box_office,,GamePulse Texas
100119, Lori,Brown ,harmonrobert@riddle-sutton.org,585.969.9031,Arlington,TX,87991,5/23/2023,web,,GamePulse Texas
100120,miChAEl,FOWlER,CAITLIN90@BARKER-JACKSON.COM,(191)754-7421x732,San Antonio,TX,99322,4/22/2021,box_office,,GamePulse Texas
100121,Heather ,Delgado,acunningham@henry.com,882.101.1208x458,San Antonio,TX,80929,5/11/2025,web,1,
100122,Scott ,PrOcTOr ,fcontreras@lewis.com,1468749685,Fort Worth,TX,27773,7/13/2024,web,,GamePulse Texas
100123,Erin,SHARp,kempjose@hotmail.com,(970)605-7181x0648,San Antonio,TX,68639,3/25/2025,social,,GamePulse Texas
100124, Toni,Simmons,sean16@ortiz-baker.info,(616)446-4033,Phoenix,AZ,75955,9/13/2023,partner_referral,,
100125,sUsAN,Walker,rachelfryyahoo.com,XXX-XXX-XXXX,Dallas,TX,706,6/10/2025,web,,
100126, JaMeS,PEtERs,williamlee@hotmail.com,851-231-6748x4479,Houston,Tx,333-01,9/17/2024,web,,GamePulse Texas
100127,John,JACKSoN ,bwillis@thompson-pierce.net ,-6080,Dallas,TX,92142,11/29/2022,social,,GamePulse Texas
100128, aNNA,SkiNNEr ,megan57@oneal.net,351.461.7615x696,Fort Worth,Tx,667-13,6/11/2021,partner_referral,,
100129,Crystal ,JOHNsoN,johnflowers@lee.com,8689970193,Houston,tx,79849,1/22/2023,box_office,1,GamePulse Texas
100130,Danny ,Bates ,hgraham@kennedy.biz,761-928-1905x587,Houston,TX,70297,10/9/2023,box_office,,GamePulse Texas
100131,James,gARcia,vsaunders@hotmail.com,170.535.5711x465,San Antonio,Tx,44338,1/19/2024,partner_referral,0,GamePulse Texas
100132, jaIME,Gonzales,JOSEPHDAVIS@SKINNER.COM,(184)995-2491,Oklahoma City,OK,90704,1/1/2023,partner_referral,1,
100133,Nathaniel,EvAnS ,cboyer@odonnell.com,+1-743-216-5258x88032,Austin,TX,13130,3/3/2025,social,,
100134,kAtiE,MarTIn,kathleenlee@crawford.biz,394.528.7193,Austin,TX,74669,1/24/2024,partner_referral,,
100135,Jessica,Williams ,suzanne65@hotmail.com ,001-078-058-9671x8010,San Antonio,TX,95282,10/6/2023,partner_referral,,GamePulse Texas
100136,chRiSToPHEr,MOore ,franciscojones@murphy.com,(253)697-2441,Dallas,TX,90896,4/17/2022,box_office,0,
100137,KRISTINA ,SamPsoN ,donaldgray@hill.net,558.339.0969,Dallas,TX,70553,10/14/2021,social,,
100138,rIcHaRD,neLSOn ,hrogersprice.com,346.272.5738x7344,Corpus Christi,Tx,99670,1/19/2022,web,0,
100139,Diana ,HansEn,tiffany51@yahoo.com,001-806-648-9218x5565,Houston,TX,11551,3/9/2023,web,1,GamePulse Texas
100140,MiCHaEL,oRTIZ,zcurtis@yahoo.com,500.285.6534,Baton Rouge,LA,13540,3/28/2025,box_office,,GamePulse Texas
100141, JOrDAN,HAll,andersonmelanie@hotmail.com,227-669-4143,Dallas,TX,65906,12/25/2021,box_office,,
100142,RoGER ,IngRAm, jacob84@hotmail.com,(224)481-4000x139,Dallas,TX,77108,6/28/2023,social,,
100143,jAmiE,oNEIlL,joshua30@hotmail.com,(334)140-7648,Austin,TX,75085,9/11/2025,web,,
100144,mATThEw ,CLArK,nancyandersen@yahoo.com ,+1-968-387-0606x8670,Lubbock,Tx,61291,12/19/2024,partner_referral,,GamePulse Texas
100145,ThEReSa, Jones,bryanchristopher@waller-bass.com,+1-973-316-9854x6794,Fort Worth,TX,33801,9/6/2025,web,,GamePulse Texas
100146,LIndA,tHomAs,iholloway@hotmail.com,-3976,Austin,Tx,612-44,8/29/2025,social,0,
100147,SHELLy,ChaVeZ,JENNIFERJONES@YAHOO.COM ,5893203839,El Paso,TX,35303,1/28/2024,partner_referral,,GamePulse Texas
100148, saRAH, BeRGer,bray@stevens.biz,001-334-927-6320x4601,Dallas,TX,39435,8/12/2023,partner_referral,0,
100149,Stephanie,Bush,STEVEN17@HOTMAIL.COM,813-332-0213x246,San Antonio,Tx,351-34,4/16/2021,partner_referral,1,
100150,LIndsEy, RhoDeS,rcurtis@garza.com,(734)093-9488,Dallas,TX,41694,9/24/2022,box_office,1,
100151,luiS,giLL ,schen@gmail.com,-9787,Dallas,Tx,13087,2/17/2022,web,0,
100152,mARY,PhIllips,DOUGLAS52@LOPEZ-ARMSTRONG.COM,001-214-795-4410,Little Rock,Ar,57975,3/14/2023,web,1,GamePulse Texas
100153, SOpHia,WAlKeR,hawkinsveronica@aguirre-benitez.com,+1-628-678-4883x7741,Dallas,Tx,69154,6/22/2025,partner_referral,,GamePulse Texas
100154, mEGAn,mOrrIS,victoria43@morrow.com,105-467-7543x66709,San Antonio,Tx,83877,2/4/2025,partner_referral,,
100155,ThOmaS,SCHmItT,kennethdelgado@porter-wiggins.org,114-446-6770x16195,San Antonio,TX,42713,2/24/2024,partner_referral,,GamePulse Texas
100156,triStaN,BrOWN ,juangallegos@gmail.com,414-449-5211x66217,Dallas,TX,17455,5/26/2023,social,,
100157,micHaEL ,haNseN ,hollysawyer@martinez-cruz.com,XXX-XXX-XXXX,Austin,TX,82982,11/17/2022,web,,GamePulse Texas
100158,Stephen,Cole,troman@williams.org,255.904.6344x83454,Fort Worth,TX,40628,4/28/2024,box_office,,
100159, SyDnEY,POwEll,patricia22@yahoo.com,262-416-2420x9461,San Antonio,TX,91865,2/18/2021,partner_referral,,GamePulse Texas
100160,gLOria ,mITCHeLL ,cody83@hotmail.com,361.763.5559x50400,Arlington,tx,64711,2/7/2023,box_office,,
100161,JEnNIfEr,odonNelL,jeremiahbutler@morris-bryant.com ,5471637532,Houston,TX,97607,4/27/2023,box_office,,
100162, STEPhANIe,Allen , johnny36@gmail.com,+1-087-489-8019x0893,New York,NY,88609,6/18/2023,social,1,GamePulse Texas
100163, jOSEph,ClaRK,thomasjamie@harvey-page.com,889-199-0211,Little Rock,ar,23065,3/2/2024,social,,
100164, Erica,TucKER,jamesburton@goodman-tate.net,212-366-2421,Austin,TX,90486,5/12/2023,partner_referral,,GamePulse Texas
100165,Kenneth, Reynolds,ethomas@yahoo.com,672.157.0480,San Antonio,TX,36008,6/10/2021,web,,
100166,MeReDiTh,MOOrE,xnguyenyahoo.com,(203)447-7780x7240,San Antonio,TX,44662,6/8/2022,box_office,,
100167,WHItnEY ,DaViS,yromero@gmail.com,+1-359-112-5813x12159,Plano,TX,5477,9/2/2023,box_office,1,
100168,JulIa,HARPer,martinphillip@patterson-tucker.info,+1-248-494-9372x54368,El Paso,Tx,21391,11/5/2024,social,,GamePulse Texas
100169, kAtIE, DaVIlA,joseph62@yahoo.com,001-942-264-3997x67645,Austin,tx,54320,11/1/2021,web,,GamePulse Texas
100170,DAnIEl,PArkEr,rstevenson@yahoo.com,(004)863-5846x389,Albuquerque,NM,10097,5/3/2024,box_office,1,GamePulse Texas
100171,thoMas ,Mcguire,danielyoung@shaw.com,6089984125,Houston,TX,28008,2/24/2023,social,,GamePulse Texas
100172,Natalie,MckeE,igordon@green.com,796-022-9044x8761,Dallas,TX,65728,7/12/2021,partner_referral,,
100173, dUsTIn,stEVeNS,psandersewing.com,(558)349-1193x7409,Fort Worth,TX,68667,6/13/2025,partner_referral,,
100174,Michael, chURCh, robertburnett@brown-salazar.org,XXX-XXX-XXXX,Houston,TX,98059,2/22/2025,web,,
100175,KrISTen,Edwards ,kcontreras@baker.com,001-846-012-3941,El Paso,TX,69049,8/10/2021,web,1,GamePulse Texas
100176,catHY,Chandler,michelle03@jackson.com,5034935583,Denver,CO,97563,1/29/2023,web,,GamePulse Texas
100177,YOlaNda,phILlips,rachel95@yahoo.com,XXX-XXX-XXXX,New York,NY,21835,11/18/2024,box_office,0,
100178,jEnNifer, Morse,ericadavis@gmail.com,093.810.0446,Arlington,TX,18963,3/4/2024,partner_referral,,
100179,JUStIn,hERNandEZ,BJOYCE@SCHNEIDER.BIZ,+1-601-715-2043x232,Arlington,TX,95997,3/28/2025,box_office,,
100180,vInCeNT , bARNeTt,sergio09gmail.com,(266)977-9935,San Antonio,TX,12519,12/20/2021,partner_referral,,GamePulse Texas
100181,dONALD , WIlsON,leahkerr@johnson.com,034.919.1626x961,Austin,TX,18117,2/14/2025,social,,GamePulse Texas
100182,ChrIstophER , Austin, melanie53@stevens-navarro.biz,428-003-0083x43605,El Paso,TX,592-36,3/12/2024,web,,GamePulse Texas
100183,JAmES ,Morris,vhenry@gmail.com,597.828.2679x17365,Plano,TX,58097,8/22/2024,box_office,,
100184,jOHn, HayDEn,morseashley@gmail.com,335.034.4348x1540,San Antonio,TX,32704,4/8/2025,social,1,
100185,thOmas,NGUyeN,HEATHER90@GMAIL.COM,001-475-610-2358,Plano,TX,16143,8/15/2025,box_office,1,
100186,CHaRles, Byrd,bdunn@hotmail.com,+1-123-174-2064x0750,Dallas,TX,47475,10/24/2020,web,1,
100187,Mary,Simmons ,qwilkinson@branch.com ,765.400.3572x44013,Fort Worth,TX,734-19,10/15/2023,web,,
100188, Leah,pearSOn ,achen@torres.biz,632.721.7765x568,Austin,TX,24932,4/13/2024,box_office,0,
100189,REbeCCa,paYNe,buckleysamantha@yahoo.com,349.925.2806x423,Austin,Tx,29958,8/10/2024,box_office,,
100190,KAtHlEen ,Young,arnoldphilip@beck-colon.com,+1-759-331-5839x6174,Arlington,TX,14547,4/30/2023,partner_referral,,
100191, mICHElE,sulLivan ,andersonjennifer@gmail.com,001-421-429-6211x19537,Plano,Tx,1884,12/8/2024,box_office,1,GamePulse Texas
100192,Michelle,Schultz,lopezrichard@barber-fischer.com,001-814-847-2669x0036,Dallas,TX,21810,3/31/2022,web,,
100193,KArEn ,waLLAcE ,DTAYLOR@GMAIL.COM,(158)046-3977,Little Rock,AR,76152,3/20/2024,social,1,
100194,jESSE ,sAnDoVaL ,katherine34@yahoo.com,+1-243-970-3925x694,Arlington,TX,30586,10/29/2021,box_office,,
100195,laURa,pALMeR,pholt@johnson.com,(751)609-7806x33828,Arlington,TX,573-40,1/1/2025,social,,GamePulse Texas
100196, kaYlA, Riley,perryjerry@burns-lopez.com,001-443-115-2408x333,Houston,TX,65039,6/18/2024,box_office,1,GamePulse Texas
100197,MaTTHeW,gUzMAn,GRAHAMBRITTANY@CARPENTER-GRAVES.COM,759-527-6440x760,San Antonio,TX,26350,3/20/2024,web,,
100198,hEathEr, WALSH,rita73@morgan-allen.net,313.193.9139x598,Lubbock,TX,70550,11/20/2022,web,,GamePulse Texas
100199, mATtheW,Wilson ,dhickman@reynolds.com,+1-469-889-2968x018,Houston,TX,47346,11/5/2021,web,,
100200, Melissa,Atkinson,vbarnes@yahoo.com,924-639-2324x95820,Miami,FL,73492,3/7/2023,social,,GamePulse Texas
100201,Desiree, Harris,tuckerkevin@wilson-osborn.com,(546)000-3175,Lubbock,TX,28843,12/17/2022,web,1,
100202,mORgAn,ScoTt,ksloan@bates.biz,697-352-2216,Houston,TX,32980,5/1/2022,social,0,
100203, JUsTin,CrawFORD ,drewmoreno@caldwell.com,(392)291-7018x8271,Austin,TX,8480,12/2/2020,web,0,GamePulse Texas
100204,nIcOLe,LEe ,ramirezernest@perry.com,+1-443-181-7633x603,El Paso,Tx,64964,6/29/2024,web,,GamePulse Texas
100205,cATherinE ,Lee,romeromario@gmail.com,+1-441-366-7762x15656,Miami,fl,98746,5/26/2022,web,1,
100206,Julie,Mccarthy ,landrade@miller.net,728.610.9114x502,Houston,tx,97456,1/24/2021,social,,GamePulse Texas
100207, Kayla, bUtLEr,jhernandez@williams-mcclain.com,001-512-627-3851x53083,Dallas,Tx,44615,11/1/2020,web,0,GamePulse Texas
100208, DAViD,Walls,NPINEDA@ROSALES.COM,+1-303-584-9536x896,Austin,TX,11566,12/17/2024,web,0,
100209,tRACY ,Hudson,JONESTERESA@GMAIL.COM,(944)635-5025,Dallas,TX,32149,2/8/2021,social,,GamePulse Texas
100210,sHeRyL,lam,rcastro@hotmail.com,699-521-7766x0222,Houston,TX,2926,5/4/2021,web,1,
100211, Rachel,Hardy,jordannathan@hotmail.com,414-966-1416x95593,Dallas,TX,53028,12/28/2020,social,,GamePulse Texas
100212,mIcHAeL ,bROwN ,ylarson@perry-bailey.com,596.251.6630x74267,Dallas,TX,59483,5/12/2022,partner_referral,0,
100213,TiMOtHy,Turner ,manuel21@ramos.com,900.549.5646x21370,Chicago,IL,14374,8/14/2024,web,,
