OrdId,OrdDt,CustRef,EmailAddr,Chanl,PayMthd,OrdTotal,Tx,Fee
600086,3/8/2025 10:38,110704,kennedyhenry@hotmail.com,call_center,debit,92.07,2.71,11.8
600087,12/21/2024 12:22,110704, kennedyhenry@hotmail.com,web_site,google_pay,105,5.79,9.13
600088,12/31/2024 17:51,117305,DAVID48@GMAIL.COM,phone,debit,102.63,1.9,4.07
600089,12/17/2024 22:47,117305,DAVID48@GMAIL.COM,phone,credit,240.2,5.42,
600090,11/17/2024 21:19,113759,rwilliams@henry.com,web,cc,240.68,5.97,5.11
600091,3/23/2025 15:18,111648,cruzjeanetteyahoo.com,online,google_pay,114.27,8.49,7.77
600092,10/22/2024 0:56,118323,uroberts@jones.com,online,gpay,222.49,9.93,11.07
600093,2/4/2025 22:51,114419,jenniferalvarez@smith.net,online,debit,21.93,2.37,0.53
600094,12/11/2024 12:54,114419,jenniferalvarez@smith.net,online,credit,98.43,1.35,11.69
600095,10/3/2024 16:08,117105,jdaniels@jacobson.com,online,cc,244.01,12.01,1.29
600096,1/12/2025 5:04,117840,shawncontreras@yahoo.com,box_office,credit,146.64,2.75,11.54
600097,10/29/2024 12:26,115983, ashleywheeler@crawford.info,ONLINE,apple_pay,72.08,3.1,
600098,1/25/2025 18:47,115983,ASHLEYWHEELER@CRAWFORD.INFO,bx_office,credit,157.56,10.84,0.74
600099,1/16/2025 8:04,113031, ABIGAILLIVINGSTON@HOTMAIL.COM,online,gpay,234.09,,9.59
600100,11/30/2024 14:56,113031, ABIGAILLIVINGSTON@HOTMAIL.COM,box,apple_pay,198.16,10.03,11.27
600101,1/23/2025 12:49,113955,zjensen@yahoo.com,bx_office,debit,78.42,14.18,
600102,12/6/2024 12:24,117887,chaseana@hotmail.com,online,credit,71.29,4.25,4.72
600103,10/2/2024 10:23,117887,chaseana@hotmail.com,box_office,credit,109.78,,8.97
600104,2/11/2025 15:22,111262,adavis@gmail.com,phone,apple_pay,100.37,,1.7
600105,11/6/2024 9:53,110070,jonesjennifer@gmail.com,Phone,cash,137.13,3.19,4.47
600106,1/2/2025 4:34,110070,jonesjennifer@gmail.com,ONLINE,apple_pay,158.93,,7.4
600107,11/29/2024 8:59,113679,UROBERTSON@SMITH-JOHNSON.COM,bx_office,debit_card,216.63,4.71,
600108,3/20/2025 4:03,113679,urobertson@smith-johnson.com,phone,apple,220.65,0.91,7
600109,11/4/2024 2:17,100859,ruben48@douglas.com,online,cash,208.19,8.02,0.72
600110,2/9/2025 6:30,100859,ruben48@douglas.com ,online,cc,196.85,7.73,
600111,4/2/2025 1:57,117286,STEVENHERRERA@GMAIL.COM,onlne,credit,147.56,4.15,10.06
600112,4/9/2025 22:38,104900, pburns@singleton.com,onlne,cc,175.42,2.87,
600113,10/15/2024 20:16,104900,pburns@singleton.com,online,debit,40.11,13.06,2.64
600114,1/24/2025 17:40,104900,PBURNS@SINGLETON.COM,box,cc,242.13,14.89,3.19
600115,1/4/2025 23:37,119445,mcampbell@wells-suarez.com,web_site,apple,187.36,2.35,
600116,3/5/2025 5:46,102228,ibuchanan@hotmail.com,phone,debit,130.25,10.43,2.98
600117,3/16/2025 22:24,113046,srivera@vasquez-bowen.com,onlne,credit,129.72,6.64,3.43
600118,12/20/2024 15:13,117623,JOHNBOND@BROWN-CONTRERAS.ORG,web_site,cc,115.46,5.46,
600119,10/6/2024 18:34,107041,smithaaron@gmail.com,online,debit_card,54.6,11.36,1.57
600120,11/27/2024 3:37,104590, JIM76@SHELTON-GALVAN.INFO,bx_office,credit,183.04,0.07,2.47
600121,11/28/2024 3:14,109039,MELISSAJUAREZ@RIVERA.NET,bx_office,cash,188.23,13.73,10.43
600122,11/1/2024 11:11,109090,davisjacqueline@hotmail.com,online,gpay,48.8,12.67,
600123,3/10/2025 5:33,114887,MICHAEL94@YAHOO.COM,ONLINE,credit,152.82,10.26,3.45
600124,3/7/2025 19:48,110527,BRYANDIXON@HOTMAIL.COM,phone,credit,226.93,0.45,1.5
600125,4/22/2025 6:35,110527,bryandixon@hotmail.com,online,cc,83.68,9.29,5.68
600126,4/27/2025 20:07,101975,hudsonjoseph@gmail.com,box_office,debit,88.39,10.12,11.49
600127,4/20/2025 14:25,101975,hudsonjoseph@gmail.com,online,credit,75.46,3.42,5.51
600128,3/15/2025 21:13,101975,hudsonjoseph@gmail.com,online,credit,259.85,12.81,
600129,2/16/2025 12:48,119378,jwoods@yahoo.com,online,credit,47.75,11.32,7.84
600130,10/25/2024 4:05,112231,john76@yahoo.com,onlne,cc,50.23,7.2,2.2
600131,2/22/2025 18:18,112231,john76@yahoo.com,online,CASH,189.76,10.02,4.15
600132,11/25/2024 14:25,112231, john76@yahoo.com,onlne,apple,93.66,5.37,
600133,4/29/2025 14:54,110419,lindagates@hotmail.com,online,credit,266.3,7.88,10.37
600134,4/21/2025 13:15,115377,mitchellrobert@roberts-keller.com,online,credit,115.31,13.31,10.86
600135,11/5/2024 22:55,109066, XWILSON@YAHOO.COM,ONLINE,gpay,121.51,13.46,9.25
600136,2/27/2025 5:39,100427,agreen@gmail.com,online,debit,57.12,,2.45
600137,2/12/2025 20:27,105122,josesalas@gmail.com,onlne,debit_card,222.34,1.55,2.74
600138,4/21/2025 3:44,115709,KATHERINEWILLIAMS@HOTMAIL.COM ,web_site,apple,88.09,11.88,3.26
600139,12/3/2024 18:57,115709,KATHERINEWILLIAMS@HOTMAIL.COM,ONLINE,cash,55.02,14.36,0.74
600140,2/16/2025 13:37,115709,KATHERINEWILLIAMS@HOTMAIL.COM,box_office,credit,141.47,5.2,
600141,3/17/2025 2:28,115709,KATHERINEWILLIAMS@HOTMAIL.COM,web_site,debit,68.48,4.47,
600142,11/13/2024 15:47,115709,KATHERINEWILLIAMS@HOTMAIL.COM,Phone,debit_card,204.11,13.33,0.42
600143,1/5/2025 13:13,102368,jennifer69@reynolds.com,online,apple,234.63,11.48,4.25
600144,1/11/2025 9:25,116826,REBECCALEWIS@YAHOO.COM,online,cash,182.09,8.63,1.34
600145,1/30/2025 20:50,109783,ccook@wade.info,bx_office,cc,235.87,0.4,3.58
600146,11/4/2024 21:55,109783,ccook@wade.info,ONLINE,cc,244.55,,5.41
600147,10/28/2024 9:22,100334,pamela38@calderon-perkins.com ,online,credit,60.97,,
600148,3/8/2025 22:55,109461,april78@gmail.com,Phone,CASH,180.71,8.26,2.88
600149,3/16/2025 13:25,109461,april78@gmail.com,box,cc,181.03,2.16,4.12
600150,12/27/2024 0:56,109461,APRIL78@GMAIL.COM,bx_office,cc,135.36,1.17,1.86
600151,1/28/2025 15:42,109461,april78@gmail.com,box_office,cc,189.47,11.42,8.59
600152,12/22/2024 23:35,109461,april78@gmail.com,call_center,credit,111.43,12.87,2.04
600153,4/23/2025 16:34,109461,april78@gmail.com,online,gpay,209.38,14.7,10.8
600154,2/10/2025 22:05,106181,eric19@rodriguez.com,onlne,cc,138.08,,6.36
600155,4/16/2025 15:40,110896,jacobyang@gmail.com,online,credit,103.29,8.77,3.13
600156,2/26/2025 3:23,110896,jacobyang@gmail.com,onlne,debit,131.47,3.68,11.74
600157,1/7/2025 10:54,114271, matthew53@lewis-chavez.org,ONLINE,apple,78.77,5.26,3.76
600158,10/26/2024 18:35,114271,matthew53@lewis-chavez.org,phone,debit,189.79,,11.98
600159,1/19/2025 8:15,114271,matthew53@lewis-chavez.org,ONLINE,cc,141.79,3.66,
600160,4/22/2025 16:31,113429,huberstacie@gmail.com,bx_office,apple,192.45,1.45,2.46
600161,2/20/2025 5:52,119390,JOSEMATTHEWS@HANSON.COM,web,debit_card,205.6,7.65,4.06
600162,1/8/2025 20:18,119390,josematthews@hanson.com,bx_office,debit,45.88,,4.46
600163,3/5/2025 3:41,119390,JOSEMATTHEWS@HANSON.COM,phone,google_pay,156.44,11.71,
600164,3/7/2025 23:29,101608,LSHAW@DIXON-NEAL.COM,ONLINE,cash,262.85,4.21,11.23
600165,10/27/2024 19:47,101608,LSHAW@DIXON-NEAL.COM,web,debit,162.71,7.2,7.34
600166,11/16/2024 21:22,117115,carlyrobinson@hotmail.com,onlne,credit,101.8,8.2,9.67
600167,1/19/2025 18:24,107764,MATTHEW24@HOTMAIL.COM,box_office,credit,62.82,5.7,
600168,12/22/2024 17:34,113272,ryan42@yahoo.com ,web,credit,50.84,,7.48
600169,12/23/2024 7:37,113272,ryan42@yahoo.com,online,CASH,64.31,7.7,7.84
600170,1/31/2025 20:23,116872,deborah17@gmail.com,phone,cash,197.71,9.14,0.52
600171,2/18/2025 3:20,119292,JORDANDONALD@LUCAS-FLOYD.COM,Phone,apple_pay,239.55,7.61,2.41
600172,2/17/2025 13:05,106307,bwest@hotmail.com ,box_office,cash,174.86,10.07,2.86
600173,10/3/2024 20:09,114567,caseycody@gmail.com,online,google_pay,140.86,14.67,1.96
600174,12/6/2024 11:33,112980,UDAVIS@YAHOO.COM,box,credit,103.72,2.69,5.2
600175,4/19/2025 3:14,104792,wpreston@hotmail.com,online,credit,81.03,9.93,0.61
600176,4/7/2025 19:07,104792,wpreston@hotmail.com,online,credit,203.27,13.65,11.87
600177,1/6/2025 19:12,104173,gravesrobert@yahoo.com,onlne,gpay,178,,10.61
600178,3/12/2025 18:09,114373,lori82@hood.org ,online,apple_pay,249.13,7.26,3.89
600179,3/12/2025 7:07,114373,lori82@hood.org ,onlne,debit_card,210.73,3.67,5.43
600180,11/24/2024 5:29,111901,richard77@hotmail.com ,phone,apple_pay,240.69,8.19,9.29
600181,3/14/2025 10:14,110180,carl43@gmail.com,box_office,cc,223.65,11.03,9.41
600182,12/14/2024 10:43,110180,carl43@gmail.com ,box_office,gpay,93.83,,10.88
600183,3/13/2025 6:51,110180,carl43@gmail.com,ONLINE,credit,67.56,5.46,0.8
600184,3/29/2025 4:39,112356,wilsonrichard@hotmail.com,box,credit,176.18,0.74,2.01
600185,1/23/2025 21:35,101192,gloriamckinney@mendoza.com,online,cc,110.46,11.63,10.49
600186,2/14/2025 20:58,101192,gloriamckinney@mendoza.com,bx_office,credit,136.79,10.74,9
600187,2/23/2025 8:59,100266,kayleebrown@hotmail.com,online,credit,93.45,7.38,4.93
600188,1/23/2025 10:01,103653,daltonryan@hotmail.com,Phone,google_pay,189.32,,0.37
600189,11/17/2024 0:04,112218,taylorjames@gmail.com,online,google_pay,124.71,,
600190,10/1/2024 14:24,112218,taylorjames@gmail.com,box,apple_pay,183.92,1.09,3.28
600191,10/31/2024 23:11,105238,michelle85@yahoo.com,box_office,debit_card,39.68,6.41,7.77
600192,2/9/2025 8:17,105238,michelle85@yahoo.com,ONLINE,credit,241.92,6.87,
600193,1/9/2025 19:31,105238,michelle85@yahoo.com,web_site,credit,40.08,12.61,10.57
600194,11/29/2024 15:22,100570,JOENICHOLS@FISCHER.BIZ,phone,apple_pay,84.07,8.68,8.73
600195,12/14/2024 3:56,100570,joenichols@fischer.biz,online,debit,70.92,2.87,8.2
600196,3/24/2025 1:17,100570,joenichols@fischer.biz,ONLINE,credit,175.07,6.04,
600197,10/10/2024 17:15,106902,christopher69@fletcher.com,web,apple_pay,106.22,6.83,
600198,4/18/2025 21:18,106902,christopher69@fletcher.com,online,cc,75.44,2.83,2.01
600199,11/2/2024 22:39,109465,flemingrachel@hotmail.com,onlne,cc,243.89,8.14,5.91
600200,12/2/2024 5:47,118325,msmith@roth.com ,phone,credit,51.75,6.19,2.75
600201,10/9/2024 1:40,107320,shannon17@gmail.com,online,credit,18.08,2.28,
600202,2/4/2025 3:30,111647,fhart@fry-anderson.com,onlne,credit,110.44,14.99,7.99
600203,1/11/2025 11:14,116998,lisaconner@yahoo.com,web_site,cc,102.86,13.37,4.33
600204,3/26/2025 0:03,111281,teresa99@alvarez-powers.com,web,credit,54.86,11.05,5.75
600205,12/25/2024 7:41,111281,teresa99@alvarez-powers.com,ONLINE,CASH,193.46,1.28,6.67
600206,4/13/2025 10:00,100007, barbara50@gmail.com,online,gpay,181.57,8.32,7.4
600207,1/31/2025 17:30,102934,timothymartinezhotmail.com,online,credit,79.13,5.5,0.9
600208,11/20/2024 21:50,116541,tammy23@johnson.net,Phone,CASH,112.83,13.76,11.62
600209,11/15/2024 0:26,101687,colin58@shannon-carpenter.com,online,credit,107.41,0.1,
600210,12/17/2024 2:46,101687,colin58@shannon-carpenter.com,onlne,debit,131.73,13.24,7.2
600211,12/2/2024 15:47,113687,pburgess@yahoo.com,box_office,credit,269.02,10.27,10.69
600212,2/6/2025 2:11,109546,GILLEMMA@YAHOO.COM,online,cc,207.3,6.95,3.28
600213,11/19/2024 15:26,109546,GILLEMMA@YAHOO.COM,online,debit,226.41,2.91,11.25
600214,2/15/2025 18:17,118945,millertina@gmail.com,ONLINE,cc,77.6,3.22,0.58
600215,3/28/2025 13:22,102383,FWAGNER@WEST.BIZ,onlne,credit,117.76,2.13,10.1
600216,12/11/2024 7:44,102236,joe74@yahoo.com,box_office,cc,251.93,2.28,9.63
600217,4/22/2025 21:56,111619,llewis@yahoo.com,onlne,credit,47.01,,8.7
600218,4/15/2025 10:40,100220,greenmark@bailey.com,box,credit,250.12,10.73,7.28
600219,12/28/2024 21:48,114362,maxwellelijah@yahoo.com,web,credit,247.26,14.03,8.09
600220,11/13/2024 22:47,110145,edward68@herring-bass.com ,bx_office,cc,191.97,4.74,1.79
600221,10/5/2024 16:07,110145,edward68@herring-bass.com,onlne,apple_pay,49.27,0.33,
600222,11/10/2024 20:58,110145,edward68@herring-bass.com,bx_office,apple_pay,201.67,5.09,1.15
600223,1/5/2025 19:44,101978,woodsmichellehotmail.com,box,cc,157.15,,5.45
600224,3/7/2025 17:22,114646,john13@gmail.com,box_office,credit,34.69,6.13,11.88
600225,3/23/2025 18:00,118584,hollandrichardbrady.com,online,credit,143.66,7.11,6.15
600226,2/18/2025 15:43,118584,HOLLANDRICHARDBRADY.COM,Phone,cc,55.27,11.3,5.61
600227,10/14/2024 1:01,117017,brooksmaxwell@white.com,online,debit,218.47,9.72,4.33
600228,11/12/2024 8:24,110853,evansstephanie@mckenzie-goodman.com ,online,google_pay,142.96,12.48,
600229,4/3/2025 21:04,100789,kmaddox@yahoo.com,online,credit,130.54,5.5,11.83
600230,12/27/2024 2:37,100789,kmaddox@yahoo.com,online,credit,240.95,1.88,5.64
600231,12/16/2024 20:44,108714,COOPERCRAIG@BALLARD.COM,box_office,gpay,166.11,5.61,8.92
600232,4/22/2025 13:42,108714,COOPERCRAIG@BALLARD.COM,phone,credit,90.99,0.48,0.63
600233,1/16/2025 0:35,107058, oliverrebeccanicholson.com,online,cc,133.8,14.83,10
600234,1/15/2025 3:54,112672,JESSICA42@JOHNSON.ORG,ONLINE,debit,186.09,2.43,0.44
600235,2/21/2025 0:15,112672,JESSICA42@JOHNSON.ORG ,online,debit_card,239.83,14.34,10.17
600236,2/2/2025 14:59,112672,JESSICA42@JOHNSON.ORG,online,credit,250.31,14.3,10.87
600237,12/8/2024 1:06,100888, wagnereric@stephens-welch.info ,onlne,apple_pay,88.87,5.61,7.68
600238,11/1/2024 1:48,115090,duncanannette@gmail.com,online,cc,201.11,2.16,0.96
600239,10/17/2024 2:48,115090,duncanannette@gmail.com,web,apple_pay,248.98,3.46,
600240,10/2/2024 22:31,115090,duncanannette@gmail.com,ONLINE,credit,65.78,12.53,8.85
600241,4/1/2025 5:55,115090,duncanannette@gmail.com,box_office,credit,187.26,14.98,1.92
600242,11/11/2024 9:16,115090,duncanannette@gmail.com,online,CASH,94.38,14.74,7.81
600243,2/3/2025 14:21,115090,duncanannette@gmail.com,online,cc,25.12,,8.16
600244,2/10/2025 9:36,109037,pinedakelly@hotmail.com,web_site,apple_pay,253.02,3.64,7.62
600245,1/28/2025 10:35,109037,pinedakelly@hotmail.com,phone,debit,246.01,,10.72
600246,3/27/2025 19:40,111113,SANDRA68@YAHOO.COM,online,credit,114.35,0.96,8.28
600247,11/26/2024 11:55,111113,SANDRA68@YAHOO.COM,ONLINE,cc,93.98,6.76,6.38
600248,3/20/2025 16:50,109378,amber39@gmail.com,web,cc,73.48,7.74,9.69
600249,11/14/2024 11:04,109378,amber39@gmail.com,web_site,debit,53.43,1.05,1.83
600250,2/21/2025 3:08,100639,shanewebb@goodwin.com,web_site,cash,47.23,13.84,8.01
600251,10/27/2024 18:12,117127,wpatterson@parrish.com,box_office,gpay,30.86,7.82,2.92
600252,2/1/2025 23:47,117127,wpatterson@parrish.com,box_office,debit_card,208.43,9.81,10.35
600253,2/11/2025 19:49,117127,wpatterson@parrish.com,phone,cc,244.08,1.89,3.27
600254,12/10/2024 23:23,117127,WPATTERSON@PARRISH.COM,online,cash,141.19,7.02,10.88
600255,11/30/2024 13:14,117127,wpatterson@parrish.com,phone,cc,254.92,9.31,0.05
600256,1/2/2025 3:39,117044,michelle56@ross.com,online,credit,174.55,0.38,10.82
600257,2/2/2025 9:25,117044,michelle56@ross.com,box_office,debit,62.01,7.42,3.81
600258,3/25/2025 16:59,117044,michelle56@ross.com,web,apple_pay,208.05,11.4,8.75
600259,3/25/2025 12:56,117044,michelle56@ross.com,phone,cc,221.94,7.1,4.49
600260,1/6/2025 15:23,104422,tgarcia@gmail.com,box_office,cc,191.45,2.55,7.69
600261,11/3/2024 20:03,104422,tgarcia@gmail.com,onlne,apple_pay,84.35,4.37,5.86
600262,4/20/2025 1:43,111250,smathis@ortiz.info,online,apple_pay,249.14,2.58,0.11
600263,1/30/2025 21:17,111250,smathis@ortiz.info,phone,credit,230.35,,6.34
600264,4/21/2025 4:19,101730,dustinmata@pugh.com,phone,credit,75.31,,3.9
600265,11/13/2024 23:29,119229,brianna89@arnold-sullivan.com,online,credit,83.09,9.32,6.17
600266,12/18/2024 8:35,118171,VIRGINIA26@YAHOO.COM  ,box_office,debit,206.08,13.24,5.57
600267,11/22/2024 4:22,103918,michelle43@chen.org ,box,credit,32.53,2.88,3.14
600268,10/8/2024 11:23,109997,pearsonleah@hotmail.com ,call_center,gpay,179.42,13.42,
600269,10/15/2024 16:17,109997,pearsonleah@hotmail.com ,onlne,google_pay,68.5,0.53,2.64
600270,2/26/2025 9:46,117895,QDUNCAN@NELSON-QUINN.COM,online,debit,105.06,9.6,10.33
600271,2/11/2025 18:40,106343,uevans@acosta.com,online,credit,36.32,6.48,9.56
600272,4/23/2025 22:09,102109,debbiechambers@gmail.com,onlne,gpay,56.59,2.85,0.51
600273,1/14/2025 0:47,116802,ryansmith@carr.org,bx_office,credit,120.59,13.37,10.83
600274,11/29/2024 12:32,101540,DUNCANBRIANA@JIMENEZ.BIZ,online,debit,70.62,10.01,6.24
600275,1/21/2025 12:14,101540,duncanbriana@jimenez.biz,bx_office,debit_card,257.23,8.84,1.77
600276,10/8/2024 12:32,113907,cory61@mcintyre-stewart.info,call_center,cc,105.34,3.25,
600277,1/14/2025 9:00,110409,martinezadrian@dixon-perry.net,ONLINE,cash,70.13,5.34,8.25
600278,12/7/2024 19:37,114395,whurley@johnson.net,online,cc,77.28,4.64,
600279,4/7/2025 14:06,114395,WHURLEY@JOHNSON.NET,web_site,debit,200.49,6.45,9.83
600280,12/10/2024 0:16,108275,KEVINSOTO@GMAIL.COM,online,credit,251.74,7.2,11.05
600281,2/21/2025 3:28,108275,KEVINSOTO@GMAIL.COM,online,credit,206.94,12.08,7.41
